timestamp,actual_q,actual_qd,target_qd_acceleration
1716711051.5851562,"[-2.6201112906085413, -2.9100378195392054, -0.07997256914247686, -2.93300706544985, 0.5299375653266907, 1.1699498891830444]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.6011128,"[-2.6201234499560755, -2.909977738057272, -0.0799482504474085, -2.933042828236715, 0.5299611687660217, 1.1699498891830444]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.617087,"[-2.6200993696795862, -2.9100497404681605, -0.0799482504474085, -2.933042828236715, 0.5299731492996216, 1.1699738502502441]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.6330006,"[-2.620087448750631, -2.910025421773092, -0.07997256914247686, -2.933042828236715, 0.5299731492996216, 1.1699498891830444]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.648368,"[-2.6201112906085413, -2.910025421773092, -0.07996064821352178, -2.933042828236715, 0.5299611687660217, 1.1699618101119995]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.6642852,"[-2.6201472918139856, -2.910025421773092, -0.0799482504474085, -2.93305474916567, 0.5299491882324219, 1.1699378490447998]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.6800122,"[-2.6200993696795862, -2.910001579915182, -0.08000833192934209, -2.9330666700946253, 0.5299611687660217, 1.1699378490447998]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.6952522,"[-2.620063368474142, -2.910025421773092, -0.07997256914247686, -2.933018986378805, 0.5299731492996216, 1.1699618101119995]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.7110634,"[-2.620075527821676, -2.909989658986227, -0.07997256914247686, -2.933018986378805, 0.5299731492996216, 1.169901967048645]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.7268414,"[-2.620075527821676, -2.910025421773092, -0.07998449007143194, -2.933018986378805, 0.5299971103668213, 1.1699378490447998]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.7425694,"[-2.620075527821676, -2.910013500844137, -0.07998449007143194, -2.93305474916567, 0.5299491882324219, 1.1699259281158447]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.7578223,"[-2.620075527821676, -2.910001579915182, -0.07999641100038701, -2.93303090730776, 0.5299375653266907, 1.1699378490447998]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.7735014,"[-2.6200993696795862, -2.9100378195392054, -0.07999641100038701, -2.933042828236715, 0.5299731492996216, 1.1699738502502441]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.789209,"[-2.6200993696795862, -2.9100378195392054, -0.0799482504474085, -2.933018986378805, 0.5299491882324219, 1.1699498891830444]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.8052447,"[-2.6201112906085413, -2.910013500844137, -0.07996064821352178, -2.9330666700946253, 0.5299611687660217, 1.1699618101119995]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.821211,"[-2.620063368474142, -2.910001579915182, -0.07996064821352178, -2.93303090730776, 0.5300090909004211, 1.1699857711791992]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.8370478,"[-2.620087448750631, -2.910025421773092, -0.07998449007143194, -2.933018986378805, 0.5299731492996216, 1.1699259281158447]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.8530495,"[-2.6201112906085413, -2.910001579915182, -0.07996064821352178, -2.933042828236715, 0.5299851298332214, 1.1699498891830444]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.8691187,"[-2.6201112906085413, -2.9100378195392054, -0.0799482504474085, -2.933042828236715, 0.5299491882324219, 1.1699378490447998]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.885145,"[-2.6201112906085413, -2.910025421773092, -0.07993632951845342, -2.93300706544985, 0.5299611687660217, 1.1699618101119995]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.9009566,"[-2.6201112906085413, -2.9100378195392054, -0.07998449007143194, -2.933042828236715, 0.5299971103668213, 1.1699498891830444]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.9169557,"[-2.6201112906085413, -2.910025421773092, -0.07996064821352178, -2.93303090730776, 0.5299731492996216, 1.1699378490447998]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.9328122,"[-2.6201112906085413, -2.910013500844137, -0.07997256914247686, -2.93305474916567, 0.5299731492996216, 1.1699618101119995]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.9485226,"[-2.6201234499560755, -2.909977738057272, -0.07992440858949834, -2.93305474916567, 0.5299375653266907, 1.1699618101119995]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.9645393,"[-2.6200993696795862, -2.909977738057272, -0.07999641100038701, -2.933018986378805, 0.5299851298332214, 1.1699498891830444]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.9802175,"[-2.6200993696795862, -2.910025421773092, -0.07999641100038701, -2.933042828236715, 0.5299611687660217, 1.1699618101119995]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1716711051.9958632,"[-2.6201112906085413, -2.910001579915182, -0.07997256914247686, -2.933018986378805, 0.5299731492996216, 1.1699618101119995]","[0.0, 0.0, -0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
